Dex,Pokemon,Type Icon I,Type Icon II,Sprite,Raw (Showdown),Image,Raw (Serebii),Current Team,Current Trainer,Tier,Games GP,W,L,WR,KDA K,D,+/-,Damage Dmg Dealt,Dmg Taken,Dmg Diff,Dmg Ratio,Column 103,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Season 1 Team,Exceptions,Exception Only,Column 78,Mold Breaker Weaknesses Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,Column 77,Weaknesses + Only Unoptional Exceptions Normal1,Fire1,Water1,Electric1,Grass1,Ice1,Fighting1,Poison1,Ground1,Flying1,Psychic1,Bug1,Rock1,Ghost1,Dragon1,Dark1,Steel1,Fairy1,Column 98,Weaknesses + All Exceptions Normal2,Fire2,Water2,Electric2,Grass2,Ice2,Fighting2,Poison2,Ground2,Flying2,Psychic2,Bug2,Rock2,Ghost2,Dragon2,Dark2,Steel2,Fairy2,Column 79,Showdown Gen 5 Link,Serebii New,Serebii Link,Raw (Pokemon DB),DBLink,Backup DBLink,Blank
275,Shiftry,,,,shiftry,,275,,,C,,,,,,,,,,,,,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,,0,-3,,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,0.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,0.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/shiftry.png,https://www.serebii.net/scarletviolet/pokemon/new/275.png,https://www.serebii.net/pokemon/art/275.png,shiftry,https://img.pokemondb.net/artwork/large/shiftry.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/shiftry.png,
276,Taillow,,,,taillow,,276,,,Z,,,,,,,,,,,,,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,,0,-2,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/taillow.png,https://www.serebii.net/scarletviolet/pokemon/new/276.png,https://www.serebii.net/pokemon/art/276.png,taillow,https://img.pokemondb.net/artwork/large/taillow.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/taillow.png,
277,Swellow,,,,swellow,,277,,,Z,,,,,,,,,,,,,60,85,60,75,50,125,455,Normal,Flying,Guts,,Scrappy,,0,-2,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/swellow.png,https://www.serebii.net/scarletviolet/pokemon/new/277.png,https://www.serebii.net/pokemon/art/277.png,swellow,https://img.pokemondb.net/artwork/large/swellow.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/swellow.png,
278,Wingull,,,,wingull,,278,,,Z,,,,,,,,,,,,,40,30,30,55,30,85,270,Water,Flying,Keen Eye,,Rain Dish,,0,-2,,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/wingull.png,https://www.serebii.net/scarletviolet/pokemon/new/278.png,https://www.serebii.net/pokemon/art/278.png,wingull,https://img.pokemondb.net/artwork/large/wingull.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/wingull.png,
279,Pelipper,,,,pelipper,,279,,,B,,,,,,,,,,,,,60,50,100,95,70,65,440,Water,Flying,Keen Eye,,Rain Dish,,0,-2,,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/pelipper.png,https://www.serebii.net/scarletviolet/pokemon/new/279.png,https://www.serebii.net/pokemon/art/279.png,pelipper,https://img.pokemondb.net/artwork/large/pelipper.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/pelipper.png,
280,Ralts,,,,ralts,,280,,,Z,,,,,,,,,,,,,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Telepathy,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/ralts.png,https://www.serebii.net/scarletviolet/pokemon/new/280.png,https://www.serebii.net/pokemon/art/280.png,ralts,https://img.pokemondb.net/artwork/large/ralts.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/ralts.png,
281,Kirlia,,,,kirlia,,281,,,Z,,,,,,,,,,,,,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Telepathy,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/kirlia.png,https://www.serebii.net/scarletviolet/pokemon/new/281.png,https://www.serebii.net/pokemon/art/281.png,kirlia,https://img.pokemondb.net/artwork/large/kirlia.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/kirlia.png,
282,M-Gardevoir,,,,gardevoir-mega,,282-m,,,A,,,,,,,,,,,,,68,85,65,165,135,100,618,Psychic,Fairy,Pixilate,,,,0,-1,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/gardevoir-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/282-m.png,https://www.serebii.net/pokemon/art/282-m.png,gardevoir-mega,https://img.pokemondb.net/artwork/large/gardevoir-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/gardevoir-mega.png,
282,Gardevoir,,,,gardevoir,,282,,,B,,,,,,,,,,,,,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Telepathy,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/gardevoir.png,https://www.serebii.net/scarletviolet/pokemon/new/282.png,https://www.serebii.net/pokemon/art/282.png,gardevoir,https://img.pokemondb.net/artwork/large/gardevoir.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/gardevoir.png,
283,Surskit,,,,surskit,,283,,,Z,,,,,,,,,,,,,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,,0,-2,,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/surskit.png,https://www.serebii.net/scarletviolet/pokemon/new/283.png,https://www.serebii.net/pokemon/art/283.png,surskit,https://img.pokemondb.net/artwork/large/surskit.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/surskit.png,
284,Masquerain,,,,masquerain,,284,,,C,,,,,,,,,,,,,70,60,62,100,82,80,454,Bug,Flying,Intimidate,,Unnerve,,0,-2,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/masquerain.png,https://www.serebii.net/scarletviolet/pokemon/new/284.png,https://www.serebii.net/pokemon/art/284.png,masquerain,https://img.pokemondb.net/artwork/large/masquerain.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/masquerain.png,
285,Shroomish,,,,shroomish,,285,,,Z,,,,,,,,,,,,,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,,0,-3,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/shroomish.png,https://www.serebii.net/scarletviolet/pokemon/new/285.png,https://www.serebii.net/pokemon/art/285.png,shroomish,https://img.pokemondb.net/artwork/large/shroomish.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/shroomish.png,
286,Breloom,,,,breloom,,286,,,C,,,,,,,,,,,,,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,,0,-3,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/breloom.png,https://www.serebii.net/scarletviolet/pokemon/new/286.png,https://www.serebii.net/pokemon/art/286.png,breloom,https://img.pokemondb.net/artwork/large/breloom.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/breloom.png,
287,Slakoth,,,,slakoth,,287,,,Z,,,,,,,,,,,,,60,60,60,35,35,30,280,Normal,,Truant,,,,0,-1,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/slakoth.png,https://www.serebii.net/scarletviolet/pokemon/new/287.png,https://www.serebii.net/pokemon/art/287.png,slakoth,https://img.pokemondb.net/artwork/large/slakoth.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/slakoth.png,
288,Vigoroth,,,,vigoroth,,288,,,Z,,,,,,,,,,,,,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,,0,-1,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/vigoroth.png,https://www.serebii.net/scarletviolet/pokemon/new/288.png,https://www.serebii.net/pokemon/art/288.png,vigoroth,https://img.pokemondb.net/artwork/large/vigoroth.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/vigoroth.png,
289,Slaking,,,,slaking,,289,,,C,,,,,,,,,,,,,150,160,100,95,65,100,670,Normal,,Truant,,,,0,-1,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/slaking.png,https://www.serebii.net/scarletviolet/pokemon/new/289.png,https://www.serebii.net/pokemon/art/289.png,slaking,https://img.pokemondb.net/artwork/large/slaking.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/slaking.png,
290,Nincada,,,,nincada,,290,,,Z,,,,,,,,,,,,,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,,0,-2,,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/nincada.png,https://www.serebii.net/scarletviolet/pokemon/new/290.png,https://www.serebii.net/pokemon/art/290.png,nincada,https://img.pokemondb.net/artwork/large/nincada.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/nincada.png,
291,Ninjask,,,,ninjask,,291,,,C,,,,,,,,,,,,,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,,0,-2,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/ninjask.png,https://www.serebii.net/scarletviolet/pokemon/new/291.png,https://www.serebii.net/pokemon/art/291.png,ninjask,https://img.pokemondb.net/artwork/large/ninjask.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/ninjask.png,
292,Shedinja,,,,shedinja,,292,,,C,,,,,,,,,,,,,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,,0,-1,,0.0,2.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,2.0,1.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0,,0.0,2.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,2.0,1.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/shedinja.png,https://www.serebii.net/scarletviolet/pokemon/new/292.png,https://www.serebii.net/pokemon/art/292.png,shedinja,https://img.pokemondb.net/artwork/large/shedinja.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/shedinja.png,
293,Whismur,,,,whismur,,293,,,Z,,,,,,,,,,,,,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,,0,-2,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/whismur.png,https://www.serebii.net/scarletviolet/pokemon/new/293.png,https://www.serebii.net/pokemon/art/293.png,whismur,https://img.pokemondb.net/artwork/large/whismur.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/whismur.png,
294,Loudred,,,,loudred,,294,,,Z,,,,,,,,,,,,,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,,0,-2,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/loudred.png,https://www.serebii.net/scarletviolet/pokemon/new/294.png,https://www.serebii.net/pokemon/art/294.png,loudred,https://img.pokemondb.net/artwork/large/loudred.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/loudred.png,
295,Exploud,,,,exploud,,295,,,C,,,,,,,,,,,,,104,91,63,91,73,68,490,Normal,,Soundproof,,Scrappy,,0,-2,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/exploud.png,https://www.serebii.net/scarletviolet/pokemon/new/295.png,https://www.serebii.net/pokemon/art/295.png,exploud,https://img.pokemondb.net/artwork/large/exploud.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/exploud.png,
296,Makuhita,,,,makuhita,,296,,,Z,,,,,,,,,,,,,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,,1,-2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/makuhita.png,https://www.serebii.net/scarletviolet/pokemon/new/296.png,https://www.serebii.net/pokemon/art/296.png,makuhita,https://img.pokemondb.net/artwork/large/makuhita.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/makuhita.png,
297,Hariyama,,,,hariyama,,297,,,B,,,,,,,,,,,,,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,,1,-2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/hariyama.png,https://www.serebii.net/scarletviolet/pokemon/new/297.png,https://www.serebii.net/pokemon/art/297.png,hariyama,https://img.pokemondb.net/artwork/large/hariyama.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/hariyama.png,
298,Azurill,,,,azurill,,298,,,Z,,,,,,,,,,,,,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,,2,-1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/azurill.png,https://www.serebii.net/scarletviolet/pokemon/new/298.png,https://www.serebii.net/pokemon/art/298.png,azurill,https://img.pokemondb.net/artwork/large/azurill.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/azurill.png,
299,Nosepass,,,,nosepass,,299,,,Z,,,,,,,,,,,,,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,,0,-3,,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/nosepass.png,https://www.serebii.net/scarletviolet/pokemon/new/299.png,https://www.serebii.net/pokemon/art/299.png,nosepass,https://img.pokemondb.net/artwork/large/nosepass.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/nosepass.png,
300,Skitty,,,,skitty,,300,,,Z,,,,,,,,,,,,,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/skitty.png,https://www.serebii.net/scarletviolet/pokemon/new/300.png,https://www.serebii.net/pokemon/art/300.png,skitty,https://img.pokemondb.net/artwork/large/skitty.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/skitty.png,
301,Delcatty,,,,delcatty,,301,,,Z,,,,,,,,,,,,,70,65,65,55,55,90,400,Normal,,Cute Charm,Normalize,Wonder Skin,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/delcatty.png,https://www.serebii.net/scarletviolet/pokemon/new/301.png,https://www.serebii.net/pokemon/art/301.png,delcatty,https://img.pokemondb.net/artwork/large/delcatty.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/delcatty.png,
302,M-Sableye,,,,sableye-mega,,302-m,,,B,,,,,,,,,,,,,50,85,125,85,115,20,480,Dark,Ghost,Magic Bounce,,,,0,-1,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/sableye-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/302-m.png,https://www.serebii.net/pokemon/art/302-m.png,sableye-mega,https://img.pokemondb.net/artwork/large/sableye-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/sableye-mega.png,
302,Sableye,,,,sableye,,302,,,C,,,,,,,,,,,,,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,,0,-3,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/sableye.png,https://www.serebii.net/scarletviolet/pokemon/new/302.png,https://www.serebii.net/pokemon/art/302.png,sableye,https://img.pokemondb.net/artwork/large/sableye.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/sableye.png,
303,M-Mawile,,,,mawile-mega,,303-m,,,A,,,,,,,,,,,,,50,105,125,55,95,50,480,Steel,Fairy,Huge Power,,,,0,-1,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/mawile-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/303-m.png,https://www.serebii.net/pokemon/art/303-m.png,mawile-mega,https://img.pokemondb.net/artwork/large/mawile-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/mawile-mega.png,
303,Mawile,,,,mawile,,303,,,Z,,,,,,,,,,,,,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,,0,-3,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/mawile.png,https://www.serebii.net/scarletviolet/pokemon/new/303.png,https://www.serebii.net/pokemon/art/303.png,mawile,https://img.pokemondb.net/artwork/large/mawile.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/mawile.png,
304,Aron,,,,aron,,304,,,Z,,,,,,,,,,,,,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,,0,-3,,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/aron.png,https://www.serebii.net/scarletviolet/pokemon/new/304.png,https://www.serebii.net/pokemon/art/304.png,aron,https://img.pokemondb.net/artwork/large/aron.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/aron.png,
305,Lairon,,,,lairon,,305,,,Z,,,,,,,,,,,,,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,,0,-3,,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/lairon.png,https://www.serebii.net/scarletviolet/pokemon/new/305.png,https://www.serebii.net/pokemon/art/305.png,lairon,https://img.pokemondb.net/artwork/large/lairon.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/lairon.png,
